Operating System,Graphics Processing Type,Processor Speed,Color,GPU,Release Year,Brand,Processor,SSD Capacity,Price,Screen Size,RAM Size,Resolution
10.5,Integrated,2.3,Gray,AMD Radeon Graphics,2021,Lenovo,4,256,1359.39,15.6,8,2073600
11,Dedicated,2,Black,Intel UHD Graphics,2022,Dell,5,256,1257.18,15.6,8,1049088
11.5,Integrated,1.7,Silver,Intel UHD Graphics 620,2020,HP,5,1000,1254.46,13,32,2073600
11,Dedicated,2.5,Black,NVIDIA GeForce GTX 1050,2018,Dell,5,256,1192.45,15.6,8,2073600
11.5,Dedicated,4,Silver,AMD Radeon Pro WX3100,2018,HP,7,256,1255.05,14,16,2073600
11.5,Integrated,2.6,Black,NVIDIA GEFORCE MX150,2020,Dell,7,256,1189.04,14,8,2073600
10,Integrated,1.7,Black,Intel UHD Graphics 620,2018,Lenovo,5,256,947.11,14,8,2073600
10.5,Integrated,2.4,Gray,Intel Iris Xe Graphics,2021,Dell,5,256,1158.38,14,8,2073600
10,Integrated,2.1,Blue,Integrated AMD Radeon Graphics,2020,Lenovo,4,256,1105.57,14,8,2073600
10,Integrated,1,Silver,Intel UHD Graphics,2020,Microsoft,5,128,1334.58,12.4,8,1572864
10,Integrated,2,Silver,Intel Iris Xe Graphics,2021,ASUS,5,512,1318.48,17.3,8,2073600
11,Integrated,2.3,Silver,Intel Iris Plus Graphics 640,2017,Apple,5,256,1673.41,13.3,8,4096000
10,Dedicated,2.6,Space Grey,GTX 960M,2018,Dell,7,480,1655.59,15,16,8294400
11,Integrated,1.8,Grey,AMD Radeon Graphics,2021,ASUS,6,512,1673.45,14,16,2073600
10,Dedicated,2.6,Black,NVIDIA GeForce RTX 2060,2020,Razer,7,512,1673.41,15.6,16,2073600
10,Dedicated,2.6,Black,NVIDIA GeForce GTX 1660 Ti,2020,HP,7,256,1430.94,15.6,16,2073600
11,Integrated,2,Silver,Integrated Intel UHD Graphics,2022,Acer,3,256,1291.25,15.6,8,2073600
11.5,Integrated,2.6,Black,Intel HD Graphics 620,2018,Dell,5,1000,626.92,12.5,16,2073600
11,Integrated,1.6,Black,Intel UHD Graphics 620,2018,Dell,5,256,1192.33,14,8,2073600
11.5,Integrated,1.6,Silver,Intel UHD Graphics 620,2020,Dell,5,1000,1672.82,13,8,2073600
11.5,Integrated,2.8,Silver,Intel i7-1165G7,2020,HP,5,512,1567.22,14,512,1080
10,Dedicated,4.1,Black,NVIDIA GeForce GTX 1650,2019,Lenovo,5,1000,1652.53,15.6,8,2073600
10,Dedicated,3.7,Black,AMD Radeon RX 560X,2019,ASUS,4,256,1627.43,15.6,8,2073600
11,Dedicated,2,Black,Intel UHD Graphics,2022,Dell,5,256,1223.11,15.6,8,1049088
10,Integrated,4.2,Silver,Intel Iris Xe Graphics,2018,HP,5,256,1673.41,14,8,2073600
10.5,Dedicated,2.6,Black,Nvidia geforce mx130,2019,Dell,7,512,1673.45,15.6,16,2457600
10.5,Dedicated,2.6,Black,Nvidia geforce mx130,2019,Dell,7,512,1673.45,15.6,16,2457600
10.5,Integrated,2,Black,Intel HD Graphics,2021,Dell,5,512,1482.01,14,16,2073600
11,Integrated,2,Blue,Intel Iris Xe Graphics,2022,ASUS,5,512,1533.02,17.3,8,2073600
11,Integrated,1.7,Silver,Intel Iris Xe Graphics,2022,Acer,5,512,1567.19,14,16,2073600
10,Dedicated,2.5,Black,NVIDIA GeForce GTX 1650,2020,MSI,5,256,1618.33,15.6,8,2073600
11.5,Dedicated,1.9,Silver,NVIDIA GeForce GTX 1050,2018,Microsoft,7,512,1533.12,13.5,16,6000000
10.5,Integrated,2.6,Black,Intel HD 520 Graphics,2018,Dell,7,512,1631.57,14,8,1049088
11.5,Integrated,2.6,Black,Intel HD Graphics 620,2019,Dell,5,1000,731.51,13,16,786432
10.5,Integrated,1.7,Silver,Intel UHD Graphics 620,2016,Dell,5,250,1443.35,13.3,8,5760000
11,Dedicated,2,Black,Intel UHD Graphics,2022,Dell,5,256,1257.18,15.6,8,1049088
10,Dedicated,2.9,Black,Nvidia Quadro M2200,2018,Dell,5,512,1461.6,15.6,64,2073600
11,Integrated,3.3,Gray,AMD Radeon Graphics,2021,Lenovo,4,512,1635.33,16,8,4096000
11,Integrated,2.4,Silver,Intel Iris Xe Graphics,2020,Dell,5,1000,1527.03,14.5,8,4096000
11,Integrated,2.4,Gray,Intel Iris Xe Graphics,2021,Lenovo,5,512,1461.6,15.6,8,2073600
11,Integrated,2,Silver,AMD Radeon Graphics,2021,HP,5,512,1418.25,15.6,8,2073600
10,Integrated,2,Black,Intel HD Graphics 620,2021,Dell,7,2000,783.44,14,64,2073600
